clave,nombre,estado,miniatura,foto
Ramo de Rosas|Rojo|S,ramo-de-rosas-rojo-s,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-rosas-rojo-s.jpg?v=4930f9e4,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-rosas-rojo-s.webp?v=4930f9e4
Ramo de Rosas|Rojo|M,ramo-de-rosas-rojo-m,final,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-rosas-rojo-m.jpg?v=1fa811bc,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-rosas-rojo-m.webp?v=1fa811bc
Ramo de Rosas|Rojo|L,ramo-de-rosas-rojo-l,final,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-rosas-rojo-l.jpg?v=1068bac6,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-rosas-rojo-l.webp?v=1068bac6
Ramo de Rosas|Blanco|M,ramo-de-rosas-blanco-m,final,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-rosas-blanco-m.jpg?v=d8d2aa88,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-rosas-blanco-m.webp?v=d8d2aa88
Ramo de Peonías|Rosa|S,ramo-de-peonias-rosa-s,final,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-peonias-rosa-s.jpg?v=dcca14a2,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-peonias-rosa-s.webp?v=dcca14a2
Ramo de Peonías|Rosa|M,ramo-de-peonias-rosa-m,final,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-peonias-rosa-m.jpg?v=37c6ef50,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-peonias-rosa-m.webp?v=37c6ef50
Ramo de Peonías|Rosa|L,ramo-de-peonias-rosa-l,final,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-peonias-rosa-l.jpg?v=ec01b820,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-peonias-rosa-l.webp?v=ec01b820
Ramo de Claveles|Rojo|S,ramo-de-claveles-rojo-s,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-claveles-rojo-s.jpg?v=75ed1efc,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-claveles-rojo-s.webp?v=75ed1efc
Ramo de Claveles|Rojo|M,ramo-de-claveles-rojo-m,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-claveles-rojo-m.jpg?v=a663dd9f,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-claveles-rojo-m.webp?v=a663dd9f
Ramo de Claveles|Rojo|L,ramo-de-claveles-rojo-l,final,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-claveles-rojo-l.jpg?v=53999e52,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-claveles-rojo-l.webp?v=53999e52
Ramo de Girasoles|Amarillo|S,ramo-de-girasoles-amarillo-s,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-girasoles-amarillo-s.jpg?v=6e2324b6,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-girasoles-amarillo-s.webp?v=6e2324b6
Ramo de Girasoles|Amarillo|M,ramo-de-girasoles-amarillo-m,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-girasoles-amarillo-m.jpg?v=66b3cd3e,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-girasoles-amarillo-m.webp?v=66b3cd3e
Ramo de Girasoles|Amarillo|L,ramo-de-girasoles-amarillo-l,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-girasoles-amarillo-l.jpg?v=82a81610,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-girasoles-amarillo-l.webp?v=82a81610
Ramo de Gerberas|Naranja|S,ramo-de-gerberas-naranja-s,final,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-gerberas-naranja-s.jpg?v=dd62d8ef,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-gerberas-naranja-s.webp?v=dd62d8ef
Ramo de Gerberas|Naranja|M,ramo-de-gerberas-naranja-m,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-gerberas-naranja-m.jpg?v=bb1fad87,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-gerberas-naranja-m.webp?v=bb1fad87
Ramo de Gerberas|Naranja|L,ramo-de-gerberas-naranja-l,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-gerberas-naranja-l.jpg?v=f63b174a,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-gerberas-naranja-l.webp?v=f63b174a
Ramo de Margaritas|Blanco|S,ramo-de-margaritas-blanco-s,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-margaritas-blanco-s.jpg?v=5325c5f4,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-margaritas-blanco-s.webp?v=5325c5f4
Ramo de Margaritas|Blanco|M,ramo-de-margaritas-blanco-m,final,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-margaritas-blanco-m.jpg?v=59eeb3b6,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-margaritas-blanco-m.webp?v=59eeb3b6
Ramo de Margaritas|Blanco|L,ramo-de-margaritas-blanco-l,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-de-margaritas-blanco-l.jpg?v=294018fb,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-de-margaritas-blanco-l.webp?v=294018fb
Ramo Primavera Tulipanes Mix|Multicolor|M,ramo-primavera-tulipanes-mix-multicolor-m,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/ramo-primavera-tulipanes-mix-multicolor-m.jpg?v=6d46d6ed,https://jeronimosanchez.github.io/petal/fotos/grande/ramo-primavera-tulipanes-mix-multicolor-m.webp?v=6d46d6ed
Geranio Maceta|Rojo|M,geranio-maceta-rojo-m,final,https://jeronimosanchez.github.io/petal/fotos/mini/geranio-maceta-rojo-m.jpg?v=99525426,https://jeronimosanchez.github.io/petal/fotos/grande/geranio-maceta-rojo-m.webp?v=99525426
Orquídea Phalaenopsis|Blanco|M,orquidea-phalaenopsis-blanco-m,final,https://jeronimosanchez.github.io/petal/fotos/mini/orquidea-phalaenopsis-blanco-m.jpg?v=012544d9,https://jeronimosanchez.github.io/petal/fotos/grande/orquidea-phalaenopsis-blanco-m.webp?v=012544d9
Corona Fúnebre Rosas y Crisantemos|Multicolor|M,corona-funebre-rosas-y-crisantemos-multicolor-m,final,https://jeronimosanchez.github.io/petal/fotos/mini/corona-funebre-rosas-y-crisantemos-multicolor-m.jpg?v=7a543aa6,https://jeronimosanchez.github.io/petal/fotos/grande/corona-funebre-rosas-y-crisantemos-multicolor-m.webp?v=7a543aa6
Corona Fúnebre Rosas y Crisantemos|Multicolor|L,corona-funebre-rosas-y-crisantemos-multicolor-l,final,https://jeronimosanchez.github.io/petal/fotos/mini/corona-funebre-rosas-y-crisantemos-multicolor-l.jpg?v=2a44f048,https://jeronimosanchez.github.io/petal/fotos/grande/corona-funebre-rosas-y-crisantemos-multicolor-l.webp?v=2a44f048
Centro de Mesa Rosas y Eucalipto|Rosa y Verde|S,centro-de-mesa-rosas-y-eucalipto-rosa-y-verde-s,provisional,https://jeronimosanchez.github.io/petal/fotos/mini/centro-de-mesa-rosas-y-eucalipto-rosa-y-verde-s.jpg?v=e17f4b2c,https://jeronimosanchez.github.io/petal/fotos/grande/centro-de-mesa-rosas-y-eucalipto-rosa-y-verde-s.webp?v=e17f4b2c
Centro de Mesa Rosas y Eucalipto|Rosa y Verde|M,centro-de-mesa-rosas-y-eucalipto-rosa-y-verde-m,final,https://jeronimosanchez.github.io/petal/fotos/mini/centro-de-mesa-rosas-y-eucalipto-rosa-y-verde-m.jpg?v=fa342ae2,https://jeronimosanchez.github.io/petal/fotos/grande/centro-de-mesa-rosas-y-eucalipto-rosa-y-verde-m.webp?v=fa342ae2
